 ,DA,SA,LL,TV,VEC,CBT
1e-05,2200,40101,605111,14300,41201,1400
2e-05,3100,32100,587111,13900,31601,1800
3e-05,1000,10101,390207,15900,9300,2200
4e-05,800,41501,364807,4500,42900,3300
5e-05,1500,20301,358106,5900,16101,3200
6e-05,2700,23501,359606,4900,16901,1700
7e-05,3101,34700,610310,7700,32700,1501
8e-05,2100,19600,562710,17600,17201,3100
9e-05,1301,33400,359006,7300,28801,2200
0.0001,1500,11701,360106,11000,10200,2000
0.0002,2701,14800,365606,9900,10900,1700
0.0003,2000,23100,534710,16400,22001,3000
0.0004,1000,23501,360806,10200,18701,2200
0.0005,1800,31801,364906,8100,25901,1800
0.0006,1300,45401,366606,1800,43901,1000
0.0007,2700,7600,359806,15801,6000,2700
0.0008,2700,37500,555610,9900,36400,2900
0.0009,3000,43100,575011,13200,39801,2600
0.001,2500,35601,622011,10001,32400,2900
0.002,3200,20301,364106,12700,20601,2500
0.003,2900,18500,560710,16601,14200,2200
0.004,2100,35101,511309,10001,34300,2100
0.005,2200,500,365606,2200,700,2500
0.006,1600,29900,379207,10400,28801,1500
0.007,1800,24300,366407,8200,11800,2000
0.008,2300,44601,394407,5400,42501,1800
0.009,2800,44600,638012,8300,44901,2200
0.01,3300,31700,395408,7400,26300,3000
0.02,2300,12700,374807,23800,13600,1600
0.03,3100,7201,383206,22100,7100,1901
0.04,1900,30300,404008,11600,28700,2200
0.05,4000,7000,363207,17100,7300,2600
0.06,4400,54001,636711,9500,57101,2400
0.07,2200,49901,935717,13600,56301,1600
0.08,2300,24500,585011,5900,22500,1900
0.09,2400,29301,380607,9800,23000,2100
0.1,3800,27301,696712,28401,23900,3200
0.2,1500,600,422308,1500,500,3000
0.3,2300,36300,636612,13100,36601,2200
0.4,2500,24600,1080720,24100,20201,2100
0.5,2300,38501,626711,16601,36800,2000
0.6,2200,31300,743314,10200,29001,2000
0.7,2200,3700,1113721,11100,3300,1900
0.8,2200,27201,1634629,28701,24300,2500
0.9,1701,8800,1105719,17101,8600,1900
1,1700,53501,2249541,5400,69101,1500
