 ,DA,SA,LL,TV,VEC,CBT
1e-05,2200,37401,562510,17900,50401,2400
2e-05,3500,293606,644911,15501,347606,3200
3e-05,3700,51201,919016,5000,48601,2900
4e-05,1500,500,579211,1800,700,2700
5e-05,2200,52001,593510,4600,45101,1700
6e-05,1800,11600,552610,21500,11001,2500
7e-05,1000,30900,374407,8300,24801,3600
8e-05,1000,600,359107,2500,900,2200
9e-05,3600,10400,634112,9400,11200,3200
0.0001,2000,43501,575711,11800,39901,3700
0.0002,1800,45401,535110,13500,41601,2200
0.0003,2000,20500,609711,18700,22301,2600
0.0004,3500,15600,582111,22600,13300,1900
0.0005,1500,4100,358706,12101,2300,1500
0.0006,3400,43001,371207,3800,38201,3300
0.0007,1300,26100,371307,3700,18800,1900
0.0008,1900,20100,365407,3900,20900,2400
0.0009,2400,58301,581711,2500,48501,1700
0.001,2300,62601,543010,5400,52101,2300
0.002,2200,18900,366807,19900,17500,2000
0.003,4600,53101,633712,9000,52601,1700
0.004,3100,24801,385907,5400,15100,2700
0.005,3200,1100,478909,4600,2000,2000
0.006,1800,32001,368607,9200,28200,2600
0.007,4400,9300,611611,24100,9200,2100
0.008,3400,30701,643211,17301,24200,1900
0.009,2200,27900,806515,8000,28100,2000
0.01,2100,29701,373206,10001,21100,2000
0.02,1700,13001,374006,12101,9900,2200
0.03,2701,51200,556610,10400,45801,2400
0.04,2100,40101,458208,8800,35901,1800
0.05,2300,9600,394207,18501,9200,1400
0.06,2800,11300,678212,18401,10700,1500
0.07,3400,10600,390707,16600,9300,1700
0.08,1500,6400,402107,16500,6500,1600
0.09,1600,18101,406607,17300,13201,1500
0.1,2200,7700,407207,27601,3700,2000
0.2,2100,17600,480009,6000,15600,1900
0.3,2800,4800,1330324,10300,5100,2500
0.4,1800,47201,983318,17700,44601,1700
0.5,2600,1400,1182221,6600,2000,2500
0.6,1800,19401,623411,7400,17600,1700
0.7,1900,12900,1146421,16800,11900,1600
0.8,1800,7200,708313,18600,5700,2000
0.9,4000,45901,1505728,6700,36801,2100
1,2000,32101,848915,3900,31301,2100
