 ,DA,SA,LL,TV,VEC,CBT
1e-05,2500,301405,629312,15500,352406,3500
2e-05,1200,35801,376007,3200,30400,4000
3e-05,1000,27900,410108,7000,26500,2200
4e-05,1500,47501,358106,1800,46501,1400
5e-05,1900,21101,379006,13800,17800,2601
6e-05,1800,36501,359506,4000,28801,1400
7e-05,1900,600,358407,2100,600,2200
8e-05,1300,4300,357906,12800,2900,2200
9e-05,1600,30800,441908,5500,28001,1800
0.0001,1300,31700,359307,3300,25301,3800
0.0002,1600,9700,361707,13300,9600,1600
0.0003,1600,400,494009,1600,600,2500
0.0004,1500,26701,363107,11800,21700,2700
0.0005,1400,17100,360607,3600,13700,3500
0.0006,2000,17800,567610,15801,18100,1500
0.0007,1300,2100,357606,9000,2500,2001
0.0008,3901,30000,656011,6901,30400,2000
0.0009,3200,39200,834915,3101,39100,2900
0.001,2000,23501,459608,21500,24101,2200
0.002,1800,25900,369207,4400,16400,2500
0.003,3200,36800,396208,7600,36800,3100
0.004,4200,35901,521109,11101,31100,3100
0.005,2500,21800,371807,3900,17300,2000
0.006,3000,14700,674613,27100,17100,3200
0.007,3300,33800,670312,12600,30100,2501
0.008,2300,38601,580711,13600,36501,2600
0.009,3500,51401,633511,16701,52201,3100
0.01,3100,1900,451408,5300,2300,3500
0.02,1900,7300,374707,26200,4400,2200
0.03,2300,21200,478409,25900,17400,1800
0.04,1800,26601,391307,4900,28001,1600
0.05,2200,11600,392207,29900,9601,2700
0.06,2700,50201,764314,11500,42901,2400
0.07,2400,13600,663112,26700,10701,2100
0.08,2300,20000,581410,15301,20000,1800
0.09,1500,4100,450208,13901,4400,1600
0.1,2300,12300,416407,10700,12100,1501
0.2,1400,14100,502309,12400,12801,1700
0.3,2600,26901,1182821,29500,27401,1900
0.4,1700,28100,551910,13900,24001,1400
0.5,1400,10300,571110,21600,10800,2200
0.6,1300,16900,612211,23201,15100,2500
0.7,1900,43501,712213,7800,44601,1500
0.8,2500,22600,2072637,30001,19100,2400
0.9,1300,19500,733714,17700,13600,1900
1,2100,8400,1351224,24601,8100,2800
