 ,DA,SA,LL,TV,VEC,CBT
1e-05,9500,42901,570610,10800,34701,1500
2e-05,1200,15300,362207,9900,16700,2100
3e-05,700,35401,368006,3800,41101,1800
4e-05,900,44101,377506,12701,37800,2100
5e-05,900,6100,356806,8500,4700,1601
6e-05,1100,18900,356707,9700,16500,2400
7e-05,8200,29000,357307,3300,21700,1200
8e-05,2800,4800,629912,10600,6400,2500
9e-05,3700,46700,366307,5300,42301,2400
0.0001,1000,40201,362606,3100,36301,2300
0.0002,900,7200,360606,8000,8401,1300
0.0003,1700,17500,359407,8500,14900,2000
0.0004,2500,12800,623011,16901,12200,2200
0.0005,2500,33301,367506,10201,32000,1700
0.0006,1800,10900,357506,16301,9700,3400
0.0007,3000,45601,616211,8100,51001,1600
0.0008,1900,23600,384307,2400,25101,1900
0.0009,2600,25300,555510,4000,26501,1600
0.001,2500,30401,477308,4700,30000,3400
0.002,1800,800,455109,3000,2300,1900
0.003,4400,39200,638212,8700,36001,3600
0.004,3600,41601,586911,5600,48101,2800
0.005,4200,16300,654812,16301,18700,2900
0.006,2301,5600,363206,12100,5500,2500
0.007,5100,34101,548410,14400,37701,1600
0.008,2000,28500,399107,14301,24300,1900
0.009,1900,37601,374106,10401,31900,2000
0.01,2401,23900,552309,7501,30600,1800
0.02,2500,25301,375206,10601,23900,2200
0.03,1800,30000,466909,10400,28900,1400
0.04,2600,18500,542310,22600,22301,1400
0.05,3000,43201,617811,6200,59901,1900
0.06,1500,22401,385007,8400,21400,1500
0.07,2100,27901,779214,25000,25601,1600
0.08,3000,42300,781614,9001,44300,2400
0.09,1700,31100,666912,11800,28101,1600
0.1,3000,5300,797715,13600,6600,1600
0.2,1800,46501,915017,5900,44401,2800
0.3,1700,18300,587011,15500,18500,2100
0.4,1500,27901,637811,7200,20701,3100
0.5,2200,28901,1847933,9600,32101,3300
0.6,1400,30400,633212,2700,29600,2100
0.7,2200,32601,676112,9200,36501,1700
0.8,1800,10001,1299223,14100,11401,2900
0.9,1500,31301,749213,1800,30201,1700
1,2900,19800,1904735,24400,18100,2200
