 ,DA,SA,LL,TV,VEC
1e-05,7025,977288,5720083,22470,973873,
2e-05,2615,788484,5646352,18310,802399,
3e-05,3370,301284,5607391,21840,342880,
4e-05,2730,183728,5510209,26595,182548,
5e-05,2750,188828,5460443,18830,189418,
6e-05,2765,240609,5467178,21310,238519,
7e-05,2655,204608,5468208,20345,203753,
8e-05,3255,218194,5416862,20515,215084,
9e-05,2600,231264,5406847,18505,227339,
0.0001,2865,237144,5415312,23910,235364,
0.0002,3570,250519,5739223,21340,249124,
0.0003,3360,188408,5608796,20840,188348,
0.0004,4070,147052,5530590,21535,145827,
0.0005,4250,200733,5528499,19930,198793,
0.0006,3925,195683,5642376,19950,223904,
0.0007,4240,184553,5549100,18360,185613,
0.0008,4475,190698,5653736,23525,189918,
0.0009,4130,196633,5585995,19860,166608,
0.001,3605,134637,5572810,21125,134927,
0.002,4375,221794,5535589,21930,219198,
0.003,4265,160637,5537167,19790,158653,
0.004,4250,226879,5549913,21955,228129,
0.005,4135,161472,5468716,18910,161107,
0.006,4225,177503,5442181,22400,174608,
0.007,4215,206743,5396925,23115,198663,
0.008,4025,158687,5497294,21595,156237,
0.009,4230,223924,5478049,19770,224184,
0.01,3870,209203,5403322,22370,210228,
0.02,3940,175233,5428220,21535,174138,
0.03,3885,204008,5372295,21610,205003,
0.04,3890,179118,5921413,22300,173233,
0.05,3955,206684,5419918,20880,209129,
0.06,3590,238254,5483691,24360,241729,
0.07,4120,210558,5481914,20650,211773,
0.08,3910,295810,5520441,18305,231394,
0.09,3815,145703,5537682,21595,144033,
0.1,3645,217824,5491000,22440,223154,
0.2,3030,196493,5766947,19175,201233,
0.3,2890,167938,5585310,21690,169899,
0.4,2975,207273,5691211,21890,209473,
0.5,3415,219214,5801510,20280,222409,
0.6,2690,190498,5562748,17620,184168,
0.7,2995,233623,6021461,21175,240123,
0.8,3010,168682,6199464,21490,167867,
0.9,2905,154802,6060974,18650,158597,
1,3050,164163,6600551,19525,160658,
