 ,DA,SA,LL,TV,VEC
1e-05,1200,10087530,60690579,36301,1551520
2e-05,1300,6652986,60285674,42701,991113
3e-05,1100,7336194,59709367,62601,1085314
4e-05,900,21987282,60060672,43000,3491745
5e-05,1100,14831690,60204274,57600,2282030
6e-05,3000,21201272,59173760,88601,3249242
7e-05,2900,25225024,59976370,91201,3866550
8e-05,2700,13839178,60108772,106002,2203828
9e-05,1100,25427326,78914214,90601,5193767
0.0001,900,22853493,60250074,88001,3498145
0.0002,1500,5905781,59983324,39001,850711
0.0003,1300,18643156,59146812,90101,2901640
0.0004,1300,10550845,60249628,66201,1378819
0.0005,1400,6822394,59898922,27201,1018314
0.0006,4000,14266096,59423917,117101,2182330
0.0007,2000,9567031,59492417,63201,1421820
0.0008,1500,2064128,73643509,27700,287504
0.0009,3900,24805640,59222311,82001,3782952
0.001,2100,10448243,59366513,53601,1557121
0.002,2900,5371078,59187264,30801,771811
0.003,2400,4014055,59871616,53201,688209
0.004,2301,10569342,59639804,59101,1477120
0.005,2100,201202,62794305,39400,32401
0.006,2100,12845785,59294303,56803,1985791
0.007,3600,9069748,58783562,65501,1329222
0.008,4101,2307644,59319053,38000,328507
0.009,3400,20078258,59457063,56001,3200257
0.01,2400,11571508,59076259,47001,1680630
0.02,5500,10455588,61165701,49000,1546428
0.03,3800,15929985,59399363,99402,2433243
0.04,4000,6955025,58688655,22200,966717
0.05,4000,9313667,58767156,44701,1365625
0.06,4900,783314,59705173,19900,120902
0.07,3900,25142151,58660954,12200,3896470
0.08,3400,1955426,59452670,22301,306204
0.09,4200,4226454,59208356,21600,631108
0.1,3000,21464682,60073368,87402,3279758
0.2,5800,623011,60433580,28100,97002
