 ,DA,SA,LL,TV,VEC
1e-05,17000,38658890,62487417,35200,18502231
2e-05,7200,19265844,62565818,52601,2871652
3e-05,5601,22784207,64066945,39700,3604765
4e-05,4700,14803265,64026244,73601,2120938
5e-05,6200,29829233,62025909,46501,4134674
6e-05,5300,10333285,64011944,61801,1447126
7e-05,5400,11003597,63843941,54801,1501927
8e-05,4500,8592353,64972262,43000,1217822
9e-05,5400,16340592,63588436,92502,2268640
0.0001,5100,12162617,63070927,96602,1724231
0.0002,4600,4445380,63033026,61102,641311
0.0003,5700,19074640,62455715,107902,2773450
0.0004,5800,27485891,62273812,63501,4070172
0.0005,3600,280605,62044908,50401,42300
0.0006,5300,21619386,65228764,101202,3099456
0.0007,6100,17504612,61964106,92902,2442944
0.0008,6700,14888866,63384933,123802,2049937
0.0009,6400,24117031,62121110,59902,3424361
0.001,6600,23754225,64318950,63501,3503562
0.002,10800,11983114,62431714,63001,1612129
0.003,7300,11859612,62531916,91502,1692830
0.004,8400,7466933,61433595,58101,1030519
0.005,6400,4272476,60992187,33601,626511
0.006,8801,5272294,61206192,45300,710113
0.007,7000,7276129,64802056,39101,947317
0.008,13100,23780424,60673183,31000,3494963
0.009,8401,13616643,60398978,86701,1930235
0.01,7800,3340560,61085090,26701,505309
0.02,7500,6914424,59328259,31801,960617
0.03,8700,27289890,59369966,48801,4025772
0.04,7300,9052516,59203761,41600,1261816
0.05,6101,5418868,58883341,28601,714209
0.06,6300,7141929,58573152,36401,983418
0.07,7900,24711840,59659162,73601,3599264
0.08,7100,17071905,58686350,90401,2328742
0.09,7500,7236929,58365443,53401,920616
0.1,7100,17249408,58912752,93501,2430344
0.2,7600,22061994,59325861,98201,3239858
0.3,5100,25202016,61599372,76201,3526345
