 ,DA,SA,LL,TV,VEC
1e-05,900,300,2800,2100,500
2e-05,2900,200,15600,2600,100
3e-05,1300,200,7400,2500,400
4e-05,1800,400,12700,2600,400
5e-05,1000,300,14000,2100,300
6e-05,900,300,1700,2900,200
7e-05,1300,300,12300,2900,100
8e-05,600,300,8800,1700,300
9e-05,500,200,12300,1400,200
0.0001,1100,800,1300,2100,300
0.0002,800,300,8100,1900,100
0.0003,1100,400,15600,2800,1100
0.0004,1400,300,17400,2400,100
0.0005,1200,300,12900,1900,200
0.0006,1200,500,5400,2400,100
0.0007,900,300,6400,2100,200
0.0008,1400,700,17800,3800,300
0.0009,1500,200,5700,1700,300
0.001,2200,400,9000,2400,200
0.002,1300,300,3700,2400,100
0.003,3100,300,9600,2401,700
0.004,1701,400,17900,3000,300
0.005,1700,300,3800,2800,200
0.006,2600,600,1900,1600,300
0.007,1400,300,13101,1600,200
0.008,3000,400,10800,2200,200
0.009,2800,600,8300,1800,1100
0.01,2901,900,3800,2300,200
0.02,2400,500,7700,2901,200
0.03,2300,700,11000,2700,1100
0.04,2801,1600,11500,2900,200
0.05,3300,500,11700,1500,100
0.06,3000,400,7500,1800,100
0.07,2200,400,9800,1500,300
0.08,1900,300,8000,1000,300
0.09,2000,300,9300,1000,800
0.1,2500,400,14600,1100,200
0.2,4300,500,6300,1800,0
