 ,DA,SA,LL,TV,VEC
1e-05,800,500,6400,2600,300
2e-05,200,100,10701,1100,100
3e-05,500,300,2400,1900,100
4e-05,700,200,6500,1300,200
5e-05,600,200,12700,1800,100
6e-05,700,300,4100,1600,200
7e-05,600,300,4000,2000,300
8e-05,700,400,15100,2700,400
9e-05,500,400,10200,900,200
0.0001,700,400,7500,1700,300
0.0002,1300,900,1800,1600,200
0.0003,1100,400,14900,1800,100
0.0004,600,500,10700,2600,200
0.0005,900,500,2700,1400,200
0.0006,1100,500,4700,1500,200
0.0007,1300,400,16701,1500,200
0.0008,1100,400,1900,1900,200
0.0009,1000,300,5600,1300,200
0.001,1300,300,8500,1900,200
0.002,1600,400,8100,1200,300
0.003,1800,300,4800,1400,300
0.004,1700,400,18601,2600,200
0.005,1400,500,12000,1100,200
0.006,2300,500,9901,1700,200
0.007,2300,400,8401,2500,200
0.008,2400,300,13200,1500,100
0.009,2500,400,3400,1600,200
0.01,2300,300,11300,1300,200
0.02,900,1300,15900,1000,200
0.03,1900,400,11901,2600,200
0.04,1900,700,3600,600,700
0.05,2500,400,1700,1000,300
0.06,1800,300,14601,1000,300
0.07,1400,300,1300,1400,300
0.08,2200,400,7900,4001,300
0.09,1400,600,1500,600,100
0.1,1600,1300,11501,1300,200
0.2,2000,600,2100,1500,200
0.3,4000,400,10900,1600,100
0.4,4900,400,9400,1100,300
0.5,2300,800,18601,2700,100
0.6,3300,200,14000,1100,200
0.7,2700,400,9101,2000,700
0.8,2800,300,12501,1600,100
0.9,2200,900,16200,1200,200
1,1800,400,9000,2100,500
