 ,DA,SA,LL,TV,VEC
1e-05,610,2514387,6842849,11370,114229,
2e-05,510,1206685,10036060,13121,89957,
3e-05,530,2200353,9927131,14681,116699,
4e-05,610,1897739,9130909,14111,126040,
5e-05,590,1888038,7578706,16711,110988,
6e-05,560,2716103,9020440,15571,2489666,
7e-05,710,1463275,7417534,17251,112248,
8e-05,670,4247774,8464026,20491,1725756,
9e-05,610,1970835,9658990,12761,84616,
0.0001,630,1570053,9362257,12250,58944,
0.0002,740,1861996,8857537,15101,86906,
0.0003,820,1321414,8912542,12611,120769,
0.0004,870,1799561,6395663,16481,87996,
0.0005,750,1179763,8240749,20841,118189,
0.0006,830,1849245,9269400,23741,129640,
0.0007,1010,738028,8849767,15811,78446,
0.0008,1040,1928331,8278322,14831,91327,
0.0009,1050,1816853,9180613,10840,97187,
0.001,1110,1478216,10160580,13351,100198,
0.002,1230,1507118,8273361,818054,79716,
0.003,1170,2071823,9507778,20821,137241,
0.004,1320,1322064,7427775,14251,77046,
0.005,1270,883199,9074184,12450,50613,
0.006,1110,1639509,10310242,21291,120339,
0.007,1070,973016,7975008,14451,86326,
0.008,1330,1817443,6995010,15001,2136308,
0.009,1270,2782369,8804473,18481,84896,
0.01,1190,1871167,7718457,17651,106818,
0.02,1680,2510947,10769528,14271,85866,
0.03,1450,911341,10154219,12711,93077,
0.04,1500,967406,10735935,13061,50553,
0.05,1490,1456204,8703303,14181,105328,
0.06,1450,1903819,11071859,17731,108098,
0.07,1500,3113893,8197474,21161,117649,
0.08,1560,1708264,11109743,16251,87456,
0.09,1700,1660549,10475452,13601,86046,
0.1,1740,409202,10419748,12330,39823,
0.2,1790,1216396,12174408,16991,95587,
0.3,1730,2454313,10672551,17311,85606,
0.4,2880,1485397,13981781,15791,82096,
0.5,1600,1380948,14702128,17011,78936,
0.6,1720,495659,13303348,15411,52354,
0.7,1610,4037607,12151567,18031,130500,
,1040,1200524,10772598,14611,81356,
,1440,1929562,11242047,14911,67625,
