 ,DA,SA,LL,CBT,TV,VEC
1e-05,3783,43463,380076,1628,6801,3315
2e-05,276,162435,305788,1012,1269,9982
3e-05,527,135695,290628,999,8011,7607
4e-05,485,7840,286794,1125,3063,523
5e-05,265,156774,286760,965,8572,7775
6e-05,472,119119,286435,845,6231,4855
7e-05,243,49319,286492,735,8200,2168
8e-05,319,22542,286462,1207,8403,1019
9e-05,501,49637,286808,621,8404,2123
0.0001,305,169394,286441,1121,2303,7808
0.0002,307,167459,280094,776,1849,8259
0.0003,560,54463,384570,903,11561,5040
0.0004,911,128044,356030,1198,9223,7108
0.0005,989,209770,405764,1631,10422,16518
0.0006,715,42915,330066,1252,10013,2525
0.0007,740,10236,335065,1453,6304,672
0.0008,827,145786,373740,926,12865,9741
0.0009,638,111373,312502,1225,8910,6070
0.001,899,60419,293516,887,8148,1772
0.002,880,172476,311739,976,10563,8554
0.003,857,177293,429273,1438,10445,9533
0.004,1286,177650,432260,1385,11880,13191
0.005,914,40102,434216,1267,11865,2803
0.006,754,133322,315689,602,10011,8037
0.007,694,41768,481691,1048,11707,3043
0.008,1015,25196,311951,665,9701,1460
0.009,886,130988,440320,1367,24338,6486
0.01,1038,119595,369870,885,25744,7436
0.02,750,46674,324488,832,10230,3510
0.03,702,109239,418339,752,9992,4146
0.04,609,96536,361942,875,8153,6306
0.05,869,97475,346459,869,11799,7578
0.06,960,30172,334941,780,5321,1634
0.07,924,86021,345354,1071,8740,6965
0.08,1316,79905,299343,849,12478,5302
0.09,1080,31243,322217,877,8943,2743
0.1,1113,171744,406954,1107,11959,12745
0.2,920,127914,316915,888,10777,7365
0.3,893,154220,317861,1296,6681,7307
0.4,1268,211617,299587,1398,2837,12732
0.5,1381,69133,349135,1565,14134,5517
0.6,771,24167,349463,552,9580,1737
0.7,986,24284,390087,804,10898,1456
0.8,1487,111527,560845,1650,16107,6499
0.9,1469,187632,421650,1226,5140,11402
1,1332,106260,434811,946,11564,5678
