 ,DA,SA,LL,CBT,TV,VEC
1e-05,464,17577,347820,1014,7311,1944
2e-05,398,183447,339560,659,4957,15821
3e-05,396,206621,330454,908,2596,15503
4e-05,385,159736,451073,828,8435,9790
5e-05,494,168272,330295,874,9132,10447
6e-05,320,29046,330147,953,10377,2000
7e-05,489,142920,348519,574,6832,9003
8e-05,430,114153,330349,590,11705,7207
9e-05,388,205668,330407,580,9177,12875
0.0001,817,107253,375138,757,7756,2145
0.0002,1198,6103,344912,724,2569,567
0.0003,590,139471,335413,837,8133,10567
0.0004,345,2941,344120,1073,1631,427
0.0005,334,12812,343925,909,4759,863
0.0006,770,114388,334893,800,10229,7370
0.0007,1560,156636,333117,750,11192,8632
0.0008,486,229553,329952,667,983,14616
0.0009,530,146553,332828,605,10794,8995
0.001,578,108520,339007,755,9804,9870
0.002,537,165785,354499,711,9426,9637
0.003,579,172734,330397,482,7432,10065
0.004,497,99220,332399,787,8527,6636
0.005,893,82340,336427,898,10597,6369
0.006,845,95267,330030,584,11147,6086
0.007,656,128060,330007,553,12990,7143
0.008,742,10443,346792,773,4003,1127
0.009,785,161270,335314,538,14559,10892
0.01,725,160115,330939,582,6660,9173
0.02,684,203303,361634,814,7733,12381
0.03,1010,66003,344112,662,23717,3314
0.04,609,118180,334429,732,8497,6384
0.05,862,179841,379403,1304,10802,13950
0.06,860,133968,366516,602,4742,7315
0.07,668,72303,344923,568,9681,4715
0.08,834,69965,376505,561,8724,3566
0.09,831,139168,391498,830,8922,7888
0.1,972,2900,343467,896,1391,507
0.2,820,19325,485399,906,7421,1440
0.3,758,73025,515331,719,9790,3630
0.4,986,172113,582681,826,2842,10123
0.5,865,127598,689030,611,2033,8121
0.6,1497,190964,812028,794,3374,12119
0.7,720,148969,842054,506,5350,8186
0.8,856,83519,869672,645,6991,5227
0.9,962,76924,979801,1068,10587,3859
1,769,72917,1023635,1063,9980,4576
