 ,DA,SA,LL,CBT,TV,VEC
1e-05,1200,238819,559544,1500,16102,12501
2e-05,600,222217,373930,1300,10101,12401
3e-05,400,54904,546243,1401,16801,4600
4e-05,600,86907,525241,1400,10001,5000
5e-05,1400,120809,606348,2200,18702,14201
6e-05,800,81507,667552,2101,20101,5901
7e-05,700,384530,615449,1400,7101,26202
8e-05,900,262221,466437,1300,17001,16301
9e-05,600,169413,458937,2000,23402,12501
0.0001,1500,122410,554544,2000,17001,7801
0.0002,1500,201116,605748,1700,17902,21101
0.0003,900,33503,519941,2200,11601,2300
0.0004,2200,315425,540142,1801,14801,25102
0.0005,1000,399431,472637,2201,14001,9300
0.0006,1000,56705,682554,2300,16601,4500
0.0007,2000,71106,622649,2000,20802,8200
0.0008,700,77306,411533,1200,17401,5501
0.0009,1300,264521,686454,2401,31802,21302
0.001,1701,97707,656751,2001,24901,8300
0.002,2001,64005,674853,2200,22602,4400
0.003,1800,81706,548344,2300,38403,9401
0.004,1500,354227,527241,1400,10101,24302
0.005,1700,287722,542743,1800,25102,21802
0.006,2000,164413,608248,1500,17202,10200
0.007,1500,264121,602548,1800,19601,14001
0.008,1900,123310,557944,1600,21902,9901
0.009,1700,324725,485739,1700,9801,27902
0.01,2000,330927,510840,1700,13001,26502
0.02,1700,171413,567245,1600,26902,10201
0.03,1801,79906,559744,1500,13501,7100
0.04,2301,155812,621449,1900,24202,17601
0.05,2400,321425,514541,1600,15201,18702
0.06,1900,203016,587447,1700,22301,20702
0.07,1600,112008,631149,1501,15201,6600
0.08,2100,47604,680254,2200,20602,4500
0.09,2400,234118,603648,1800,20102,20801
0.1,1801,334026,567744,1700,15102,23401
0.2,3601,272321,1265799,3300,21202,25202
0.3,1700,31802,844467,2700,21102,2900
0.4,2700,128510,1214796,2700,30202,12701
0.5,1500,137711,3873905,3000,39003,13401
0.6,2200,52505,1013080,2600,22802,7800
0.7,2501,8900,1061783,3200,6601,2400
0.8,3901,68905,2335784,3100,29302,8401
0.9,1600,132711,1799041,3001,34902,11701
1,2400,323926,5595545,2600,20602,25402
