 ,DA,SA,LL,TV,VEC
1e-05,3370,3531628,9253958,13381,876619,
2e-05,2160,1806282,10142918,16821,2010578,
3e-05,1510,3610274,8620379,12000,1725495,
4e-05,2590,2518648,9694973,19101,89737,
5e-05,1690,2305511,10101315,11281,131780,
6e-05,1760,2748776,8750919,11240,91757,
7e-05,1550,5157496,9028491,12380,133960,
8e-05,1830,3087793,8464436,12221,110708,
9e-05,1670,1701693,8118599,11220,127120,
0.0001,1610,1275720,8248449,10970,77596,
0.0002,1790,3885966,10632717,14641,99138,
0.0003,2170,4765055,8650561,10490,143891,
0.0004,2470,3073922,10409219,11610,98717,
0.0005,2420,4718341,9334485,10120,140991,
0.0006,2250,1264629,10047791,12370,1691923,
0.0007,2330,1562683,9571723,12211,1693513,
0.0008,2460,2370216,9750488,12550,109228,
0.0009,2730,4278326,9006399,16471,530741,
0.001,2550,2523508,9986636,11190,70125,
0.002,2650,1064443,7220568,12281,821954,
0.003,2420,5219271,8193335,10550,131360,
0.004,2840,626309,9991417,11721,39573,
0.005,2650,1552132,9411031,12741,60114,
0.006,2620,4994313,10140908,15851,138541,
0.007,2850,820594,8953325,13860,866438,
0.008,2410,1851745,6568647,13331,98017,
0.009,3050,1405780,7772342,14041,78476,
0.01,2900,2404209,11085393,16931,112648,
0.02,2560,2756397,12487293,12041,133030,
0.03,2660,829795,9865757,9440,54014,
0.04,2590,2822912,11396597,13561,117059,
0.05,2550,1433192,12009486,11380,84096,
0.06,2390,1398820,9873627,10461,1650049,
0.07,2710,1629298,9097816,12891,1717075,
0.08,2260,5238282,10032390,19711,1753548,
0.09,2790,3579822,12466241,22691,155782,
0.1,2540,4456291,9288521,13461,1733766,
0.2,2070,1524850,12023748,16861,54284,
0.3,1690,4095771,9769247,13881,146311,
0.4,1380,1696803,15964266,16311,140641,
0.5,1610,1332715,12608843,17631,71335,
0.6,1640,3559470,10173509,13751,98087,
,1160,2916529,10370946,12461,87256,
,1210,2996706,12120145,8750,77876,
,860,639630,6839308,10180,53244,
,370,638050,3823240,3910,34032,
