 ,DA,SA,LL,TV,VEC
1e-05,3200,2644037,6376791,21200,377406
2e-05,2900,1339919,6281389,24301,138602
3e-05,3001,2301132,6282889,29300,331505
4e-05,2900,335105,6585294,19000,49101
5e-05,3400,2927242,6346690,12900,450107
6e-05,2600,735010,6483893,26900,107001
7e-05,3500,1463721,6120287,39300,169103
8e-05,3001,2841540,6120187,17400,426106
9e-05,3100,818711,6363791,19200,112102
0.0001,2800,2351133,6136688,27300,295304
0.0002,3900,929513,6657795,29701,129701
0.0003,3600,982314,6441492,29301,126101
0.0004,3000,2779139,6144288,23600,324105
0.0005,3800,740811,6509292,31201,97001
0.0006,3800,489807,6552494,13900,57201
0.0007,5100,2558137,10284746,21000,322305
0.0008,4200,2896541,6248389,16901,398805
0.0009,5201,2725838,6336090,20200,297304
0.001,5800,2984343,7276904,19800,350205
0.002,4700,3006242,6408292,18800,375205
0.003,4700,2026428,6308590,36601,191702
0.004,4800,239003,6733996,13900,35301
0.005,3300,2122031,6438491,27901,243603
0.006,5400,2927642,6498993,11400,398405
0.007,3100,14800,6561693,12101,2100
0.008,4300,654710,6694695,29400,92302
0.009,5500,930913,7422606,32100,114702
0.01,4500,644909,6630394,19500,93802
0.02,3200,590808,5896884,27900,57501
0.03,5400,2438334,6218289,33000,286904
0.04,4200,1280818,6251689,38501,177702
0.05,3500,223703,6698795,17000,30301
0.06,3500,519607,6515193,30700,70101
0.07,1900,3584251,6089686,8000,371405
0.08,5600,610209,6626394,29901,83701
0.09,4200,2234932,6021785,21401,263403
0.1,4600,105302,6362190,13001,16200
0.2,3000,104402,7259603,12500,14801
0.3,2700,538207,6962299,26501,63701
0.4,4700,2196793,7006377,31500,250999
0.5,4700,1644323,7252802,28300,164403
0.6,2400,2032729,7337604,43401,232603
0.7,2000,161203,7409305,12800,21800
0.8,3900,3110144,8494621,41701,409006
0.9,3100,1978228,8813325,41801,204003
1,2700,414206,8839826,14700,58001
