 ,DA,SA,LL,TV,VEC
1e-05,1000,400,3800,1200,200
2e-05,600,100,5200,1100,100
3e-05,700,200,2300,1000,100
4e-05,400,300,3200,1100,200
5e-05,400,100,3400,1400,100
6e-05,300,300,1900,1000,200
7e-05,300,300,4500,900,100
8e-05,600,200,3600,900,0
9e-05,400,200,3200,1000,200
0.0001,400,300,3800,800,100
0.0002,1100,100,4101,2400,100
0.0003,800,201,4800,1500,0
0.0004,1100,200,2900,1000,100
0.0005,1100,300,3200,1300,1200
0.0006,2400,1200,3300,1400,300
0.0007,1300,200,4000,1400,100
0.0008,1400,200,3900,1700,200
0.0009,800,800,2500,1000,201
0.001,1200,100,5000,1100,100
0.002,1200,300,3700,1001,200
0.003,3100,200,3700,1800,800
0.004,1600,300,5500,1200,300
0.005,2000,200,1200,2300,100
0.006,1200,300,2700,1300,500
0.007,1500,200,1900,1300,100
0.008,1700,200,3900,1500,100
0.009,1700,201,3400,1000,100
0.01,2400,900,3400,1000,900
0.02,2000,700,6400,1000,200
0.03,1500,200,5600,1000,100
0.04,1800,300,2400,900,300
0.05,2000,200,4500,1000,200
0.06,2300,300,3300,1100,100
0.07,1600,300,5601,800,200
0.08,2300,200,2800,1301,200
0.09,2000,700,2800,1300,100
0.1,1600,300,2800,900,200
0.2,2600,200,1400,1300,100
0.3,2000,200,4100,1000,300
0.4,2500,200,3800,900,100
0.5,1700,100,3301,900,400
0.6,2000,100,5700,1001,100
0.7,1700,200,5001,800,300
0.8,2500,800,5700,1300,100
0.9,1600,200,3500,900,100
1,1800,200,2500,1300,200
