 ,DA,SA,LL,TV,VEC
1e-05,700,300,1800,1100,1100
2e-05,1900,100,3801,900,200
3e-05,500,300,4100,1500,300
4e-05,400,300,3200,1500,200
5e-05,600,100,2900,1000,0
6e-05,400,200,3000,900,100
7e-05,400,100,1800,1000,200
8e-05,1000,200,3900,1300,100
9e-05,800,200,5700,1400,100
0.0001,600,200,1100,1200,200
0.0002,1401,200,4400,1000,200
0.0003,1000,200,2200,1200,200
0.0004,1500,100,1600,1100,100
0.0005,1000,300,300,1200,200
0.0006,1800,200,3800,1000,200
0.0007,1200,200,3901,1600,100
0.0008,1200,100,4000,1600,700
0.0009,1200,300,3900,1000,300
0.001,1100,200,1100,900,200
0.002,2200,400,1900,900,300
0.003,2300,400,3500,1200,500
0.004,2500,500,4400,2200,200
0.005,1300,400,2201,1400,300
0.006,2400,300,5300,1500,100
0.007,3000,300,2800,2200,200
0.008,2300,600,2700,1600,300
0.009,2600,800,4300,1500,200
0.01,1700,300,2200,900,200
0.02,1500,600,1800,800,200
0.03,1500,200,5600,900,100
0.04,1800,200,3700,1900,200
0.05,1700,200,5000,900,200
0.06,1700,200,5400,700,100
0.07,1200,300,1300,600,300
0.08,2100,400,1000,700,200
0.09,2000,400,2400,1700,400
0.1,2700,200,900,900,300
0.2,1500,200,2200,1600,200
0.3,3800,200,2300,900,100
0.4,2000,300,2600,900,100
0.5,1900,300,2700,1300,200
0.6,1900,500,3100,1900,700
0.7,1700,200,3500,900,300
0.8,2200,200,3500,700,200
0.9,2300,200,3200,1000,300
1,2800,200,1200,1000,200
