 ,DA,SA,LL,TV,VEC
1e-05,700,700,12500,4100,1100
2e-05,1200,700,11200,3100,1400
3e-05,800,1200,5700,4800,1100
4e-05,800,1800,9100,3700,1600
5e-05,800,700,14600,5200,1000
6e-05,1100,700,6600,3900,1000
7e-05,1200,700,13800,3700,900
8e-05,1800,1300,16000,3000,700
9e-05,900,700,12000,3300,1800
0.0001,800,700,18800,4800,1000
0.0002,800,800,4200,3000,1300
0.0003,600,500,16301,3000,1400
0.0004,1100,1700,15700,3100,1200
0.0005,1000,700,14300,4200,800
0.0006,1000,1200,7000,2900,900
0.0007,900,600,15500,3400,900
0.0008,1000,700,13100,3800,1400
0.0009,1900,1200,5700,3800,1000
0.001,1200,700,9500,2900,1100
0.002,1100,1000,11200,3400,700
0.003,1900,700,7600,3000,1500
0.004,1800,1300,8100,3300,900
0.005,1000,1600,14801,3100,900
0.006,1700,1100,17400,4700,600
0.007,900,700,17201,5300,1000
0.008,900,900,13900,4100,900
0.009,1801,800,13500,4000,1000
0.01,800,700,15300,3600,1000
0.02,900,800,4200,3400,900
0.03,2000,1200,14701,2800,1000
0.04,900,700,2400,3300,900
0.05,1800,1200,15500,3100,1000
0.06,1200,700,3000,2500,1100
0.07,1000,800,7200,2400,1700
0.08,1100,900,16700,2600,1100
0.09,2000,900,17201,2800,1200
0.1,800,600,7900,3900,1400
0.2,1100,700,10400,2400,1000
