 ,DA,SA,LL,TV,VEC
1e-05,16400,6374791,10419548,24507950,6705796
2e-05,5500,4265561,10716353,24312747,6719796
3e-05,5300,4531965,9428235,25241660,6675695
4e-05,5700,4894370,9308833,24273246,6627494
5e-05,4700,4199960,9226832,24111244,6653094
6e-05,6300,4221160,9597437,22516721,6088587
7e-05,5700,4393263,9519136,22595422,6127188
8e-05,6200,4653866,13567994,24784253,6077387
9e-05,6000,4530564,9416735,22709324,6124487
0.0001,6201,4556065,10359047,22517421,6043186
0.0002,7100,4655366,9606137,22525522,6020886
0.0003,8500,5747082,12265675,25557464,6100987
0.0004,8700,4703567,9682738,22577122,6136988
0.0005,8000,4698767,9751339,22632923,6158088
0.0006,10900,4654666,9475535,22556921,6083687
0.0007,11600,4634766,9336733,22618922,6625694
0.0008,7600,4575665,8994228,22587221,6035086
0.0009,8500,4685866,9199231,22703823,6859598
0.001,7900,4553964,9238832,22581121,6667295
0.002,11400,4257361,9311433,22859526,6137388
0.003,9700,4785468,9656637,22748323,6283089
0.004,12300,4839469,9267232,23146229,6190388
0.005,12200,4581065,9118330,22667822,6059886
0.006,12001,4702166,8998727,22732321,6037385
0.007,13901,4776067,9495634,22963126,6092287
0.008,13500,4862069,9168230,23691336,6377490
0.009,13300,4905970,9611336,22835224,6138787
0.01,19001,4660466,9135829,22836525,6044186
0.02,17800,4774068,9412734,22764923,6056086
0.03,24000,5006271,11686466,25451861,6074587
0.04,26800,4661467,9440734,22673122,6079586
0.05,73101,4872269,9248931,31709249,6243088
0.06,74201,4699367,9584336,22617420,6137287
0.07,90203,4800256,9244999,22818939,6097598
0.08,107102,4706967,14244803,22750025,6114687
0.09,112501,4728468,9563837,22646323,6117987
0.1,115802,4703567,9284832,23429333,6134588
0.2,125201,4785968,9534835,23249128,6089785
