 ,DA,SA,LL,CBT,TV,VEC
0.0001,2487,8975,31562,663,1866,1040,
0.0002,214,6374,28242,477,2163,639,
0.0003,266,2985,25715,508,1782,454,
0.0004,181,8109,24442,471,1546,571,
0.0005,355,8475,50048,587,3014,948,
0.0006,184,5960,24080,430,2128,520,
0.0007,171,2494,24396,431,1089,319,
0.0008,370,5932,25855,491,2324,793,
0.0009,314,6155,26652,480,1824,859,
0.001,318,7231,26993,492,1502,806,
0.002,555,8428,31369,677,2611,1499,
0.003,390,5656,27442,383,2063,638,
0.004,449,4895,29285,507,1802,761,
0.005,716,5013,28357,556,2444,970,
0.006,382,5779,24866,479,1834,574,
0.007,503,5711,31892,543,2256,861,
0.008,557,5973,35989,618,2158,651,
0.009,434,11754,27920,461,1984,1040,
0.01,402,8713,29639,574,1882,900,
0.02,488,2818,24058,521,1804,571,
0.03,296,5442,18448,267,1522,411,
0.04,402,5443,24045,400,2022,647,
0.05,365,8361,25306,367,1862,781,
0.06,409,4840,23405,454,1830,468,
0.07,525,7917,21894,460,2143,749,
0.08,520,7832,26619,477,2302,829,
0.09,417,3642,24810,441,2257,554,
0.1,512,5263,24663,461,2409,682,
0.2,470,5174,21395,360,2034,682,
0.3,655,4572,26563,477,2418,663,
0.4,452,4946,19584,373,1590,609,
0.5,541,5148,25745,482,2009,739,
0.6,478,4513,23195,549,1705,532,
0.7,423,7606,22640,393,1829,707,
0.8,480,6500,24532,445,1976,565,
0.9,496,10067,30703,523,1940,787,
1,528,6784,23951,440,1781,650,
