 ,DA,SA,LL,CBT,TV,VEC
0.0001,5099,6054,67197,1925,4570,1703
0.0002,268,11540,42938,850,3752,798
0.0003,390,7351,39651,714,3198,791
0.0004,246,20921,37822,1064,3187,1200
0.0005,245,1929,37651,757,3337,370
0.0006,247,13189,37737,750,3326,873
0.0007,260,7680,37616,448,3153,456
0.0008,1053,12012,39336,554,4362,1073
0.0009,436,11374,37649,525,2941,675
0.001,378,3275,37771,562,2499,501
0.002,1895,9960,63133,1078,4187,1289
0.003,947,9020,53315,762,5289,1641
0.004,502,17879,61671,917,5179,1193
0.005,672,12355,38956,694,4717,1879
0.006,1013,10275,64306,1092,5234,1291
0.007,829,4653,65149,945,3278,579
0.008,897,9412,39053,1377,5346,1599
0.009,874,21613,40671,1104,3710,2181
0.01,533,5789,39812,852,2846,791
0.02,536,1053,37576,609,2061,388
0.03,473,13295,37930,465,2964,1004
0.04,518,4364,37739,540,3055,495
0.05,815,19506,65888,545,5371,2122
0.06,1121,5858,53313,1388,4242,997
0.07,2609,24410,58657,1979,6471,2756
0.08,1492,8149,66246,1351,4298,1552
0.09,1122,11406,68096,1072,7213,1720
0.1,561,7113,37656,681,3326,547
0.2,1322,10423,54281,880,6884,2091
0.3,1107,11268,48726,1002,5949,1445
0.4,534,17400,37170,524,1962,993
0.5,625,2070,36941,931,2271,662
0.6,1368,1440,61853,2345,3456,783
0.7,1077,13416,52923,1002,4974,1136
0.8,1874,4513,56484,1163,5143,1111
0.9,996,23046,66153,943,2132,1789
1,654,17437,40493,648,2739,1426
