 ,DA,SA,LL,CBT,TV,VEC
0.0001,5077,15063,63685,1489,3515,2185
0.0002,449,13155,85466,1231,7738,1882
0.0003,470,16596,61133,1186,4406,1282
0.0004,384,27816,61082,745,1279,2148
0.0005,1051,14040,53024,1458,6891,2481
0.0006,461,7052,51576,1146,5457,1066
0.0007,387,15520,38800,791,3979,1319
0.0008,1043,7656,42787,1363,4964,2647
0.0009,893,18259,41858,1213,3196,3804
0.001,712,22177,59157,1077,2032,2177
0.002,472,19013,37652,617,3554,1660
0.003,1173,11637,61148,916,6028,2011
0.004,821,1324,64580,1110,4955,2200
0.005,2209,11831,74941,1980,7298,2939
0.006,863,6789,38924,758,3611,904
0.007,1330,16571,73829,1610,5864,2895
0.008,1952,9411,147632,1169,5503,1069
0.009,724,31796,47655,798,2812,2252
0.01,1054,15045,56476,1159,5559,2612
0.02,705,470,38169,866,1036,364
0.03,878,17159,37752,402,2902,1117
0.04,785,17276,61397,886,4819,1396
0.05,1008,8283,41733,893,4825,1526
0.06,603,14484,50439,708,4027,1310
0.07,895,24167,50931,750,3688,1938
0.08,879,18519,62017,949,6009,1711
0.09,704,11283,40817,545,4049,1492
0.1,1224,6168,52817,1173,6733,1023
0.2,1153,18306,40616,649,2544,1321
0.3,892,10738,53756,821,4535,1089
0.4,1103,5797,43102,861,3933,1227
0.5,504,16521,54666,603,3025,1499
0.6,636,13931,34130,716,2584,867
0.7,575,14976,34976,534,2348,1303
0.8,599,17668,34731,526,2668,1071
0.9,840,41937,61062,1066,4724,2036
1,966,13804,49330,1406,3982,1133
