 ,DA,SA,LL,CBT,TV,VEC
0.0001,220,12955,33531,593,3469,788
0.0002,227,19931,33096,569,1171,964
0.0003,281,11296,32835,562,3122,653
0.0004,179,10556,32846,497,2580,628
0.0005,233,19005,32740,477,1994,1039
0.0006,206,961,36260,723,2719,458
0.0007,267,6796,33131,630,2870,666
0.0008,315,10860,32726,544,3275,592
0.0009,1061,15837,33517,527,3163,1190
0.001,462,1757,36737,430,2328,539
0.002,355,16399,32691,461,2313,896
0.003,591,14101,50748,811,4562,1368
0.004,606,14710,50556,601,23975,1783
0.005,1976,14544,54946,691,4848,2075
0.006,1017,31995,57112,1024,7115,2918
0.007,865,12387,56525,1131,6549,1317
0.008,883,27520,54302,1380,4913,1658
0.009,748,1392,36111,694,3061,931
0.01,559,644,33773,921,1168,275
0.02,727,18000,56617,703,5063,1363
0.03,1312,13533,58086,1175,4584,1420
0.04,860,3298,50778,857,3365,1257
0.05,827,27582,67963,854,3676,3521
0.06,884,13953,62524,807,2886,1329
0.07,1644,13305,58540,1325,4071,1095
0.08,1092,10678,55022,1110,5660,1277
0.09,555,9333,37871,720,3463,632
0.1,916,3150,52335,713,4761,996
0.2,946,20853,53000,860,3189,1743
0.3,573,9559,39207,890,3957,1166
0.4,1576,26448,136629,3283,6168,8896
0.5,450,9538,35177,459,2919,836
0.6,449,5515,30059,421,2617,518
0.7,311,4274,30684,334,2720,413
0.8,338,9441,47981,351,1929,724
0.9,354,12148,30373,331,1261,844
1,315,10922,30251,299,1526,670
