 ,DA,SA,LL,CBT,TV,VEC
0.0001,7218,51778,79664,928,3394,3429
0.0002,528,25658,60435,786,1831,2470
0.0003,1070,2817,64970,1337,4444,1447
0.0004,586,985,50404,1138,2362,502
0.0005,869,37409,52023,1542,6035,2087
0.0006,405,11589,53032,901,4739,1312
0.0007,335,738,51823,1109,1678,597
0.0008,383,14733,53065,1004,4548,1238
0.0009,597,1565,50307,1153,3155,656
0.001,715,17589,50601,1059,3770,1704
0.002,1061,14335,54964,1081,6029,2803
0.003,894,3617,59507,879,2359,657
0.004,2166,6594,60930,1165,4305,1634
0.005,2069,773,53532,890,1804,904
0.006,790,5020,58188,1071,3293,646
0.007,1003,12506,61905,711,5223,2138
0.008,849,426,52530,1265,1219,658
0.009,923,18925,64790,813,6002,2926
0.01,671,35676,36830,1152,1581,2077
0.02,1324,15375,63643,1288,7565,2296
0.03,398,12299,36520,516,3113,855
0.04,546,11795,39751,638,4550,1427
0.05,438,21463,36660,534,1261,1392
0.06,600,8710,36818,584,3903,707
0.07,543,7998,36493,603,3558,679
0.08,553,13519,36668,594,3700,977
0.09,419,5235,39869,465,3129,659
0.1,1472,14926,62857,1109,6599,2242
0.2,611,5484,37380,546,2782,764
0.3,1405,14005,54096,1126,5933,1393
0.4,782,11575,38863,601,4091,1335
0.5,1566,14538,57337,1367,5951,2415
0.6,1395,17785,39224,697,3820,2015
0.7,909,13450,55620,906,6148,2062
0.8,828,6742,38896,813,4759,919
0.9,858,6507,61312,918,3065,812
1,563,5853,35997,490,2157,525
