 ,DA,SA,LL,CBT,TV,VEC
0.0001,331,85,273,900,314,107
0.0002,185,95,175,641,240,47
0.0003,397,137,502,495,631,144
0.0004,247,113,320,786,360,53
0.0005,188,127,377,588,335,97
0.0006,233,59,314,555,267,86
0.0007,278,65,287,683,505,82
0.0008,150,112,215,477,278,51
0.0009,219,101,424,598,325,96
0.001,197,71,328,716,401,64
0.002,203,52,225,503,223,53
0.003,529,90,303,425,386,49
0.004,454,100,422,972,544,81
0.005,528,148,321,217,398,62
0.006,515,127,314,383,449,57
0.007,498,121,238,362,360,59
0.008,455,123,321,565,411,77
0.009,436,68,171,497,339,59
0.01,434,118,483,593,385,50
0.02,638,121,202,384,453,101
0.03,411,60,123,363,306,50
0.04,504,75,159,420,248,58
0.05,421,62,222,251,373,60
0.06,488,77,352,215,251,61
0.07,625,73,246,249,326,49
0.08,466,129,294,387,262,61
0.09,472,81,190,290,265,48
0.1,386,93,187,304,249,60
0.2,480,79,419,376,238,62
0.3,487,76,271,547,235,61
0.4,566,87,416,558,330,78
0.5,827,135,156,398,412,79
0.6,581,184,467,389,449,119
0.7,714,162,273,658,298,69
0.8,710,94,299,673,325,71
0.9,611,125,506,433,337,70
1,416,106,391,385,315,68
