 ,DA,SA,LL,CBT,TV,VEC
0.0001,712,330,505,944,949,187
0.0002,208,137,469,871,555,138
0.0003,350,178,441,643,681,99
0.0004,570,187,433,964,648,85
0.0005,346,217,481,881,433,137
0.0006,357,119,202,1025,553,101
0.0007,478,183,371,1040,682,184
0.0008,320,167,285,687,342,80
0.0009,282,53,280,478,327,69
0.001,250,147,207,1230,315,138
0.002,564,228,254,625,543,128
0.003,426,127,228,632,433,87
0.004,826,208,356,1093,699,180
0.005,964,195,800,1085,742,187
0.006,373,181,205,630,340,128
0.007,934,153,378,817,578,77
0.008,905,121,351,652,306,85
0.009,809,123,381,1041,861,87
0.01,374,133,172,481,349,96
0.02,778,137,327,674,438,71
0.03,722,151,553,751,610,137
0.04,779,173,505,565,507,82
0.05,889,131,522,733,309,86
0.06,818,112,265,496,309,66
0.07,773,158,277,571,632,139
0.08,598,87,253,461,8373,166
0.09,809,162,448,649,508,76
0.1,595,94,274,635,287,71
0.2,662,105,497,515,406,88
0.3,996,205,393,804,772,149
0.4,485,134,424,287,248,76
0.5,804,99,566,424,519,76
0.6,437,165,475,394,348,130
0.7,590,107,437,279,285,69
0.8,617,95,363,741,229,70
0.9,510,136,224,943,284,117
1,723,144,910,746,591,89
