 ,DA,SA,LL,CBT,TV,VEC
0.0001,573,158,398,456,559,86
0.0002,304,143,281,591,347,130
0.0003,247,59,132,816,424,51
0.0004,266,58,219,438,303,66
0.0005,261,50,131,853,374,64
0.0006,261,58,343,380,250,59
0.0007,290,57,322,636,334,51
0.0008,186,58,124,588,250,58
0.0009,169,58,90,321,298,61
0.001,342,70,312,627,232,92
0.002,393,92,336,439,310,68
0.003,382,111,208,891,431,80
0.004,385,84,367,546,305,68
0.005,362,69,423,574,222,68
0.006,572,149,215,858,334,96
0.007,674,100,464,559,490,77
0.008,442,99,307,598,360,100
0.009,613,149,312,773,512,72
0.01,442,93,407,387,241,73
0.02,676,99,430,668,316,71
0.03,826,170,551,638,575,135
0.04,907,134,468,662,678,153
0.05,466,102,329,365,238,74
0.06,477,76,464,385,229,71
0.07,689,144,382,679,540,132
0.08,630,189,246,353,440,72
0.09,523,119,188,471,224,72
0.1,409,160,158,474,327,123
0.2,407,121,308,478,228,116
0.3,667,147,467,539,448,79
0.4,852,189,506,504,479,131
0.5,365,80,139,265,206,68
0.6,763,108,652,758,268,73
0.7,932,219,396,692,471,218
0.8,555,72,453,299,217,70
0.9,573,83,432,496,219,66
1,895,179,712,577,446,100
