 ,DA,SA,LL,CBT,TV,VEC
0.0001,318,184,483,1072,640,99
0.0002,425,181,615,853,701,107
0.0003,181,118,465,870,551,100
0.0004,289,82,393,681,916,86
0.0005,291,124,367,775,495,82
0.0006,272,118,203,725,774,85
0.0007,267,79,327,635,524,79
0.0008,325,65,160,727,432,90
0.0009,622,74,380,733,432,86
0.001,307,60,440,511,325,91
0.002,903,216,472,636,628,140
0.003,459,161,418,689,412,100
0.004,508,119,685,930,585,145
0.005,380,135,372,694,478,104
0.006,1145,129,627,701,790,106
0.007,615,169,507,674,670,150
0.008,803,243,647,947,709,159
0.009,523,130,299,941,668,108
0.01,637,152,415,740,456,100
0.02,628,86,288,403,367,73
0.03,648,147,440,811,379,66
0.04,940,109,397,777,650,106
0.05,776,141,497,575,428,142
0.06,766,116,442,792,653,93
0.07,853,223,484,554,449,77
0.08,801,132,355,932,401,97
0.09,673,152,312,580,535,85
0.1,712,152,443,618,583,90
0.2,776,205,703,573,511,71
0.3,539,82,225,651,356,78
0.4,1031,195,737,656,420,80
0.5,685,142,210,545,541,130
0.6,786,178,814,833,278,94
0.7,1237,208,230,698,456,71
0.8,567,129,413,417,328,77
0.9,548,92,362,714,493,70
1,753,94,561,661,386,67
