 ,DA,SA,LL,CBT,TV,VEC
1e-05,517,481,1099,12767,1786,455
2e-05,492,443,996,10459,1513,365
3e-05,382,532,626,10814,1667,367
4e-05,380,370,690,13503,1931,385
5e-05,541,431,2200,16098,2319,581
6e-05,301,308,776,13065,1296,348
7e-05,479,283,856,8419,1768,392
8e-05,505,427,1370,10302,2105,459
9e-05,552,434,1008,9543,1513,382
0.0001,313,299,1371,12843,1560,420
0.0002,558,305,683,11177,1668,362
0.0003,554,436,721,8337,1469,384
0.0004,380,360,479,9398,1459,432
0.0005,759,425,793,11230,1615,386
0.0006,596,599,647,9788,1532,411
0.0007,399,287,823,7721,1348,422
0.0008,362,286,780,10164,1329,375
0.0009,669,384,955,10223,1550,465
0.001,380,310,618,12806,1853,445
0.002,415,300,751,8755,1405,345
0.003,449,303,1430,12279,1550,533
0.004,558,420,764,10164,1566,636
0.005,633,305,510,11553,1637,369
0.006,419,367,740,11622,1664,380
0.007,558,431,823,9667,1680,393
0.008,431,322,540,10139,1571,362
0.009,427,300,672,13970,1609,362
0.01,615,437,1914,11507,1883,492
0.02,1003,572,1747,15657,3615,584
0.03,1640,1006,3533,32831,10864,1661
0.04,619,344,824,11383,1626,458
0.05,762,379,793,13955,1638,389
0.06,547,306,563,11250,1413,363
0.07,615,298,791,10950,1471,420
0.08,639,288,648,8399,1510,376
0.09,733,428,730,18090,1723,367
0.1,518,329,944,11458,1447,385
0.2,666,299,942,10646,1506,378
0.3,607,382,1097,9241,1496,444
0.4,653,383,1377,12130,1805,467
0.5,617,388,2193,10521,1847,398
0.6,611,328,1394,9662,1680,408
0.7,615,318,1102,7323,1447,413
0.8,560,318,2039,8692,1447,376
0.9,606,287,1912,11293,1532,370
1,630,362,2456,8797,1513,527
