 ,DA,SA,LL,TV,VEC
1e-05,1140,174523,5737988,20400,164463,
2e-05,800,218044,5992253,26760,198563,
3e-05,820,349346,5663926,23140,326926,
4e-05,800,196303,5657546,27260,181023,
5e-05,1220,215384,5621306,29240,201523,
6e-05,840,201504,5590445,30940,221804,
7e-05,980,235804,5671867,28180,207643,
8e-05,1000,338026,5701527,31240,323826,
9e-05,1020,240504,5783829,31060,232824,
0.0001,880,256244,5592485,25200,243544,
0.0002,1380,142222,5712087,21720,134182,
0.0003,1700,241504,5654086,30920,223684,
0.0004,1040,129822,5622165,19440,119642,
0.0005,1880,221544,5659286,26720,210963,
0.0006,1720,128722,5767328,15460,122962,
0.0007,1520,246104,5686827,29660,289005,
0.0008,1820,278585,6006493,28180,271725,
0.0009,1800,319846,6414441,35060,334926,
0.001,2380,277005,6699346,29620,315686,
0.002,1980,145662,5577225,20000,140462,
0.003,2160,176043,5705346,25400,166683,
0.004,2540,124242,5675666,21620,117742,
0.005,2340,171723,5688146,24140,164422,
0.006,2020,140082,5642586,26720,134782,
0.007,3380,206183,5651565,29240,193763,
0.008,2460,218604,5615465,27000,215624,
0.009,2020,251284,5343320,27920,236924,
0.01,2220,212504,5483683,30120,208803,
0.02,2740,253224,5668367,32300,232924,
0.03,2840,276685,5603725,31640,263845,
0.04,3220,143803,5423682,20860,137542,
0.05,3760,248324,5609605,29980,278185,
0.06,2280,200343,5629386,24000,200344,
0.07,3100,260944,5649327,32660,252645,
0.08,3160,164283,5619165,25480,159523,
0.09,3380,174803,5781209,26220,176023,
0.1,2300,182423,5483283,16860,175823,
0.2,3660,227024,5861990,27720,198423,
0.3,3260,127002,5838649,24220,143642,
0.4,3100,110022,6106735,20640,104602,
0.5,2580,183743,5812289,24880,178823,
0.6,2880,225924,5794589,22500,224164,
0.7,3160,192963,6028169,31360,185403,
0.8,3120,219263,6491080,20300,232183,
0.9,2260,230903,6304396,24240,249863,
1,3460,255805,7080672,24760,255405,
