 ,DA,SA,LL,TV,VEC
1e-05,1501,16752019,7517692,28702,208016
2e-05,1000,455436,30760823,8401,53004
3e-05,1300,8687584,35904627,25202,426033
4e-05,1000,537043,14623752,25602,65405
5e-05,1100,3767597,23880381,62005,209916
6e-05,900,477237,22631483,21001,65306
7e-05,1200,3384067,13426358,37403,303823
8e-05,1100,5786856,22166746,48904,192215
9e-05,1200,6692228,23830777,26802,306724
0.0001,1300,5583939,20713231,42403,168513
0.0002,1801,1240197,17962914,33803,137711
0.0003,1600,5015995,27809690,26802,342727
0.0004,1900,2070263,20987253,47004,185315
0.0005,1700,3383367,8960806,28202,357828
0.0006,1600,3747595,17664692,58504,220818
0.0007,1800,918972,24037193,27902,132510
0.0008,2000,1562523,18526859,40804,198015
0.0009,2100,612349,12041148,15301,76106
0.001,2300,6734831,24087797,23602,362629
0.002,3100,8481768,15923454,49504,231918
0.003,2801,6466309,23305835,59705,227018
0.004,2200,157212,9295132,12801,17802
0.005,2400,1150391,19789859,23402,123209
0.006,2000,2441592,24204507,50004,212217
0.007,2001,4629664,19068901,55405,267321
0.008,2000,3909508,25291892,31103,407832
0.009,2900,16591607,7211468,26302,56105
0.01,2701,3454172,7666003,37602,336427
0.02,2300,13746283,23957687,33002,355128
0.03,2200,3970213,28504645,5701,402331
0.04,3601,1540821,21588105,41304,140411
0.05,2500,760360,17390474,16602,89107
0.06,2800,3813901,19852968,34003,400332
0.07,2700,723957,10933264,20301,105009
0.08,2600,6733232,27475069,41803,283022
0.09,3300,507440,9956286,24302,51604
0.1,3301,1960455,13950100,43504,167813
0.2,3700,3109145,31789907,37403,381830
0.3,4001,1570224,8375760,34602,121110
0.4,3400,5056299,29587231,49103,163513
0.5,2700,626849,23076913,16602,68905
0.6,2101,1702434,26189560,51604,177814
0.7,3901,12417877,24471426,29303,347627
0.8,3200,5883863,29964660,37803,199616
0.9,3100,2901029,35527601,56104,239019
