 ,DA,SA,LL,CBT,TV,VEC
0.0001,3120,17877,40794,748,3959,1312
0.0002,552,23121,40105,838,1434,1117
0.0003,578,10761,40938,834,3063,174850
0.0004,535,20206,39997,766,1836,1000
0.0005,3118,22378,67950,1145,6497,2538
0.0006,1950,1733,78858,1535,2996,567
0.0007,1051,13537,56306,823,4713,1325
0.0008,1003,17616,55568,1062,4635,1514
0.0009,1050,7205,55786,1058,4627,1061
0.001,1537,33171,56857,1256,3703,3018
0.002,925,14510,68964,1150,5216,819
0.003,1997,17294,55584,1513,6550,1953
0.004,871,16262,40132,796,2398,947
0.005,1732,26208,55412,968,2618,1973
0.006,1612,24788,41145,707,2637,1349
0.007,2214,104559,57643,1104,3836,2461
0.008,1307,1523,54239,1506,2841,675
0.009,1060,24819,60287,640,2203,2005
0.01,1692,29199,61594,1490,3632,2276
0.02,2476,11653,39937,744,3744,771
0.03,1424,22794,54656,985,5101,1722
0.04,1233,6934,68663,951,3451,659
0.05,983,9565,95424,1186,4566,1982
0.06,1535,18391,43934,952,3789,1640
0.07,2015,3784,67799,1119,5809,964
0.08,1353,33415,57192,919,2941,2270
0.09,699,2749,40615,680,2818,1085
0.1,2196,33748,56570,1217,4051,2472
0.2,976,2934,220224,1347,5922,3074
0.3,841,7202,63582,1097,4488,831
0.4,553,19277,43079,715,3253,1221
0.5,1853,4034,70955,1384,2823,761
0.6,815,49317,74159,696,2786,2010
0.7,774,2609,45774,1180,2526,570
0.8,1162,28078,72040,864,5591,1478
0.9,1788,35140,87198,1198,9388,3419
1,1102,13204,117394,1220,5438,2597
