 ,DA,SA,LL,CBT,TV,VEC
0.0001,4493,22695,47194,827,3674,238958
0.0002,548,31019,50500,614,2588,1780
0.0003,499,27106,45617,826,2519,1159
0.0004,914,15651,45510,761,3828,724
0.0005,515,18488,45795,795,3892,872
0.0006,4893,21590,45510,902,2043,892
0.0007,819,10157,48019,855,4209,911
0.0008,712,11611,45814,996,4479,577
0.0009,5124,19016,46563,577,4201,1053
0.001,654,21487,45740,698,2306,900
0.002,1387,14667,45936,691,4239,696
0.003,864,16244,46817,771,4397,1172
0.004,905,21175,46255,640,3017,1318
0.005,868,17513,47148,615,3831,1193
0.006,788,22423,45760,677,3059,1109
0.007,1152,28030,45692,873,3116,1132
0.008,889,17498,45529,738,3753,899
0.009,8413,22707,48243,680,5108,2293
0.01,13122,29636,107078,899,8461,3073
0.02,1096,27437,45764,628,3009,1334
0.03,844,27531,77356,1066,4471,1318
0.04,931,20727,71559,1415,5404,1446
0.05,1848,28326,74937,1425,4926,2830
0.06,1900,35704,69763,1163,5270,2187
0.07,868,11578,77363,1102,6244,828
0.08,1377,16195,65785,1314,7534,2502
0.09,926,18349,64612,937,5603,1206
0.1,879,40312,61815,1207,3743,3172
0.2,870,28794,80122,1040,3992,1340
0.3,1225,4527,71870,1471,3857,689
0.4,976,19760,73363,1134,5472,1185
0.5,1303,8121,82431,1573,5972,2230
0.6,1422,21847,116847,971,17759,4072
0.7,1407,38966,76831,851,6043,2907
0.8,1142,47312,75013,905,5202,2140
0.9,1114,44883,81288,990,5501,3382
1,520,10403,44173,801,3755,874
