 ,DA,SA,LL,CBT,TV,VEC
0.0001,770,20225,53932,1243,3185,1296
0.0002,533,230,40315,886,1232,405
0.0003,666,26060,38717,767,2369,1729
0.0004,466,19832,38525,717,3364,744
0.0005,782,12677,38804,764,3897,634
0.0006,4261,890,38868,723,1358,380
0.0007,748,8305,43735,1021,4161,787
0.0008,1429,34431,45609,889,1971,1982
0.0009,557,482,65897,1029,1592,1352
0.001,2072,5216,58149,917,3150,803
0.002,670,2306,38647,724,3296,433
0.003,595,13659,38665,876,3252,645
0.004,1624,26009,57541,1175,3954,3022
0.005,783,24924,39341,837,2008,1324
0.006,901,28589,40839,737,3166,2044
0.007,2140,21389,41336,874,4017,2237
0.008,793,15028,38983,730,2857,861
0.009,851,9255,40148,573,2985,970
0.01,744,12812,39089,570,3739,693
0.02,1143,5100,38804,552,2460,455
0.03,1123,26819,39730,1111,2521,2624
0.04,904,16196,39036,579,3151,839
0.05,974,6724,38991,843,2839,534
0.06,959,8891,52157,1209,5080,890
0.07,1002,44381,68651,1056,5415,3584
0.08,1103,36716,64585,1064,3949,2986
0.09,1451,7318,66753,1156,6219,2022
0.1,1346,30167,58732,898,3969,1259
0.2,812,30354,56412,1069,2591,1881
0.3,1330,20814,69732,1065,7868,2550
0.4,1324,25222,61500,1243,6273,2750
0.5,635,15953,41751,795,3954,939
0.6,836,27156,43507,837,2904,1283
0.7,1126,29233,83285,809,6379,3278
0.8,1460,25234,75394,1401,6344,2137
0.9,1481,14783,70387,1625,6325,1364
1,628,11705,53970,686,4192,724
