 ,DA,SA,LL,CBT,TV,VEC
0.0001,7712,21948,84865,1438,7615,253357
0.0002,2550,36034,69791,1221,6108,4150
0.0003,1636,38275,129557,1283,4232,2589
0.0004,1197,18014,40904,1194,3818,1098
0.0005,8414,24795,48123,702,3960,1732
0.0006,875,5717,49368,854,3515,865
0.0007,1246,32653,61491,1000,3687,1962
0.0008,916,867,40076,873,1549,475
0.0009,1505,1175,64467,1722,2705,1086
0.001,1212,14947,63944,1022,5156,1411
0.002,2264,6605,79515,1353,5738,1872
0.003,1476,40213,1106900,4713,15859,12183
0.004,1965,20700,66987,888,7481,2280
0.005,9304,44265,66702,1163,6313,2569
0.006,1183,19456,55053,987,6245,2049
0.007,2428,35980,72323,914,3709,2959
0.008,2859,9910,58543,1215,6350,1626
0.009,2103,12570,63367,1409,7459,2971
0.01,3040,5315,59750,1128,6249,2686
0.02,1919,32566,59637,1606,5617,3005
0.03,1467,26621,66674,1188,4125,1143
0.04,839,27267,62962,950,3536,2011
0.05,1458,16546,61499,1053,5514,1627
0.06,1397,3467,74729,1471,5552,1146
0.07,1494,28935,53877,1243,4599,2054
0.08,748,18623,41538,783,4951,1523
0.09,499,3931,40220,793,2330,464
0.1,1341,44834,79464,1181,5383,2797
0.2,752,23844,41557,692,5450,2083
0.3,777,10743,65589,905,3412,750
0.4,1291,15031,62203,961,5259,1006
0.5,952,3137,65939,1274,5311,1220
0.6,718,27210,38920,801,1780,1852
0.7,1091,11870,64681,1020,5011,750
0.8,1249,6325,61218,821,6186,810
0.9,1273,29760,64438,1327,5208,2570
1,1136,30196,66212,1001,8123,3274
