 ,DA,SA,LL,CBT,TV,VEC
0.0001,3128,15376,74231,1518,5842,1378
0.0002,1053,13556,71270,1234,4661,1027
0.0003,840,13363,68392,877,4892,1102
0.0004,1135,86387,70309,1135,4772,2088
0.0005,797,13567,125022,1435,5386,2226
0.0006,7297,22313,85895,1293,6031,1962
0.0007,1134,18787,72461,1206,6338,1459
0.0008,1177,16826,66397,1063,4435,1237
0.0009,1122,20634,61374,1143,6051,1457
0.001,1453,33163,61226,1008,4778,2194
0.002,1298,32152,59417,1052,4043,2444
0.003,2903,41165,130245,802,3126,2831
0.004,2421,22391,70773,941,6320,1372
0.005,1126,18373,69389,887,4465,1117
0.006,2216,49388,74730,1135,4335,4007
0.007,1104,27724,74634,936,5201,1780
0.008,978,21494,73939,4813,8028,1982
0.009,1660,21534,70478,1094,6282,2208
0.01,1925,40203,73578,800,4828,3536
0.02,1486,38244,71260,1085,4473,1915
0.03,1000,7456,49391,945,4066,1922
0.04,1951,50799,74348,1326,4019,3962
0.05,1192,33548,67484,1229,6382,4627
0.06,1265,33528,63549,860,3451,1698
0.07,1102,23352,74512,1036,8040,2262
0.08,1122,3481,69727,1151,4905,813
0.09,1526,1204,119520,1639,3077,2664
0.1,961,34078,67642,843,3171,2015
0.2,1179,49979,74842,1158,16289,3302
0.3,580,16083,43094,891,3934,755
0.4,875,25778,59003,1270,3723,1921
0.5,791,6855,48166,1089,5156,1895
0.6,528,22027,40757,661,2960,1010
0.7,1279,22821,54409,1373,4376,1920
0.8,1373,17932,63898,1276,5260,1169
0.9,955,22917,44196,489,5194,2394
1,1081,17016,65821,1240,5835,1418
