 ,DA,SA,LL,CBT,TV,VEC
0.0001,1827,1188,1902,36666,4934,1480
0.0002,4402,998,1302,52217,4228,1395
0.0003,1533,5304,1477,31755,7170,1372
0.0004,1288,1160,1298,39250,4457,1344
0.0005,1286,1058,3926,28170,4214,1285
0.0006,4366,1324,1395,21300,4116,1321
0.0007,1811,15892,1567,27844,6966,1573
0.0008,1484,1232,1410,19562,4374,1447
0.0009,1823,6070,1505,31257,4230,4193
0.001,2050,14683,1375,28972,7112,1558
0.002,1873,1196,1235,30451,7712,1527
0.003,1258,1060,3537,20726,3538,942
0.004,1931,1484,14335,20046,4630,1678
0.005,5202,1746,1298,32427,3585,978
0.006,2353,982,3490,20486,3734,957
0.007,6055,2086,1144,24606,3798,987
0.008,1537,1170,1348,24047,4387,1256
0.009,1711,1160,1247,16457,9980,991
0.01,1438,1621,1151,22574,4190,1017
0.02,2583,1670,6643,33169,4866,1577
0.03,2999,8452,1394,25176,4151,1304
0.04,5536,1113,1086,14765,3803,991
0.05,2283,1056,1169,22809,8002,927
0.06,2139,1018,1272,29778,3498,894
0.07,2717,1011,7796,13825,3515,901
0.08,3140,5014,1180,20604,3428,2563
0.09,2605,980,6413,16609,3383,942
0.1,2592,7604,1288,18680,3464,947
0.2,7298,1052,1118,20376,4542,1485
0.3,12532,1108,2377,28338,4342,1353
0.4,2927,1065,1748,22126,7456,1174
0.5,3354,5126,1539,14949,3102,2750
0.6,9194,991,1589,26808,4498,1287
0.7,2666,1079,1248,22944,3227,869
0.8,4359,7688,1606,16937,3801,4190
0.9,2558,824,4255,22357,3292,826
1,3718,1513,7916,20764,4424,1498
