 ,DA,SA,LL,CBT,TV,VEC
0.0001,1197,1469,1347,30723,4281,1187
0.0002,2185,15278,1452,33355,8307,1804
0.0003,1060,1171,1168,43788,35839,16963
0.0004,2039,1749,1751,27879,5189,1662
0.0005,1325,1722,1623,13770,4174,1114
0.0006,1686,5544,1243,51712,26423,1763
0.0007,1480,1283,5504,19012,4995,1632
0.0008,1450,4374,1535,29844,5145,4454
0.0009,1666,1324,1556,38680,9464,1699
0.001,1522,1035,1319,38620,4668,1528
0.002,2623,1844,1803,30132,9380,1557
0.003,1620,1672,7409,18552,3890,1019
0.004,1814,1644,1446,35250,5483,1416
0.005,8406,1154,1149,20107,4063,1056
0.006,1833,1300,15912,21929,4217,1141
0.007,27726,1988,2296,30987,4272,1095
0.008,1717,8163,1251,22771,4342,3555
0.009,2667,1559,1544,36035,5103,11057
0.01,2887,2284,1585,27169,14581,1697
0.02,2380,1334,7738,27680,4851,1415
0.03,9699,1158,1138,17610,3949,1008
0.04,2902,1270,6452,32419,4867,1633
0.05,3659,2363,9431,25006,5150,1723
0.06,2419,1106,1264,25479,3836,1054
0.07,3288,1363,1145,30561,4043,1062
0.08,3453,10740,1751,33749,4784,4816
0.09,3109,1275,1553,15374,10626,1159
0.1,9914,973,1392,17743,4366,992
0.2,2264,1094,1159,26464,3925,947
0.3,2508,997,1423,20389,6113,931
0.4,3068,993,6354,23317,3433,887
0.5,3480,1759,8182,20936,3688,930
0.6,2183,921,1598,15277,6747,960
0.7,2905,7041,1571,18061,5429,937
0.8,3181,1333,2488,21426,3223,6286
0.9,8597,1186,1982,21231,3396,942
1,2854,7188,1760,17963,3576,2996
