 ,DA,SA,LL,CBT,TV,VEC
0.0001,2220,17006,1586,23515,7454,1705
0.0002,2104,1715,1812,32001,9205,1591
0.0003,1977,1882,7084,47231,5698,1687
0.0004,4824,1366,1673,21833,5244,1534
0.0005,1473,6791,1424,21833,4999,4239
0.0006,1688,1666,1730,29583,12677,1543
0.0007,1853,2694,4572,38179,5416,1554
0.0008,1852,1820,11412,44218,6061,2264
0.0009,2327,8727,1627,36320,4845,4353
0.001,1619,1276,1455,32445,8822,1550
0.002,1565,1270,1555,45242,5363,1427
0.003,1893,1384,6196,17583,4596,1694
0.004,1822,1446,1375,35966,5009,1419
0.005,2354,2525,1641,28861,12397,1739
0.006,2449,2108,6225,21903,5606,1713
0.007,8343,2147,1672,42478,5210,1687
0.008,2614,1653,1556,43903,5211,1709
0.009,2928,1406,10603,28708,4837,1642
0.01,2582,1765,9689,23133,5139,1331
0.02,9494,1394,1482,20718,4894,1593
0.03,2776,1787,9412,30585,4883,1734
0.04,2798,10524,1605,31389,4873,4526
0.05,9294,999,1326,19840,4135,1047
0.06,4625,2046,1835,40225,5133,1728
0.07,2397,1075,9602,19629,3923,1046
0.08,3092,10899,1257,35121,5043,4391
0.09,2971,1099,1261,32096,4180,1010
0.1,3743,1317,1517,32584,13189,1417
0.2,10578,1520,1827,39128,5329,1534
0.3,12917,1194,1441,21965,4263,1051
0.4,3798,1578,1867,35980,5296,1646
0.5,16201,1556,2285,30861,6014,1609
0.6,4360,2380,11464,35847,5383,1644
0.7,4204,1582,2133,30550,16678,1700
0.8,12274,1488,2489,29644,5500,1675
0.9,12283,2185,2368,25037,4878,1473
1,3046,1148,6919,14620,3695,1057
