 ,DA,SA,LL,CBT,TV,VEC
0.0001,1571,1445,1296,20241,4069,1248
0.0002,1356,1955,1091,38427,4721,1391
0.0003,1175,4318,1165,18857,3938,19848
0.0004,1351,1095,1279,23177,7189,1381
0.0005,1903,1413,1401,35788,8737,1398
0.0006,1185,1091,1277,27495,3749,1239
0.0007,1314,969,4126,25516,3911,1148
0.0008,4376,889,1067,23555,3684,1187
0.0009,1461,4180,1083,28152,4013,4139
0.001,1952,1348,4643,21063,3843,1108
0.002,1284,884,888,20973,3710,801
0.003,1446,1097,5009,19707,3835,1040
0.004,4845,975,1086,24647,3166,796
0.005,1998,6680,1757,20502,4480,4617
0.006,1996,1183,1396,14661,6316,856
0.007,6606,878,946,21920,3523,824
0.008,4347,1857,1123,24838,3230,842
0.009,1279,955,971,17694,3208,935
0.01,1801,1943,1375,16296,3568,4032
0.02,1514,929,1010,22719,3080,803
0.03,1949,985,6093,13341,3097,875
0.04,2134,981,1216,16280,3110,789
0.05,9707,857,995,17595,3139,796
0.06,2271,5817,1052,17673,4937,827
0.07,2033,963,1110,15117,8213,852
0.08,2501,1277,6530,17423,3209,901
0.09,8298,1187,1207,13560,3109,2534
0.1,2260,5889,1098,14714,3100,2346
0.2,1840,1026,957,14586,3009,815
0.3,2849,1011,1257,21973,3071,1146
0.4,8887,1251,1662,18128,3186,798
0.5,2789,989,1385,26465,3270,843
0.6,4093,7269,1832,26657,4091,4002
0.7,3820,8231,1401,37159,4386,1109
0.8,4430,1786,2372,31087,4820,1394
0.9,11125,2185,1954,16760,3764,970
1,3684,1242,1796,29954,4072,1031
