 ,DA,SA,LL,TV,VEC,CBT
1e-05,400,400,2000,3200,200,33500
2e-05,300,200,1400,3000,201,27300
3e-05,400,200,1300,3200,200,25300
4e-05,100,200,1200,3000,400,14200
5e-05,100,200,1200,3500,200,26200
6e-05,200,200,1200,3500,200,31600
7e-05,200,200,1500,3700,500,28800
8e-05,200,200,1300,3300,200,26800
9e-05,500,500,1100,3200,200,24401
0.0001,100,200,1100,3000,200,23801
0.0002,500,300,3800,3600,300,25300
0.0003,300,400,3800,2900,200,26200
0.0004,200,300,1100,3400,200,24500
0.0005,400,400,3200,3300,300,24801
0.0006,300,400,900,3000,300,26101
0.0007,300,300,1000,3200,400,22700
0.0008,300,200,1300,3600,300,31500
0.0009,400,400,1500,3600,200,27201
0.001,300,400,2900,3200,200,17701
0.002,400,300,1100,3500,300,28501
0.003,400,700,1200,3600,400,25000
0.004,600,301,1600,3500,200,31100
0.005,1100,900,2700,3300,200,23700
0.006,400,300,1300,3100,400,26600
0.007,200,300,1700,2900,300,23101
0.008,701,700,1600,4200,300,25500
0.009,1000,600,2400,3400,200,42301
0.01,1000,800,2901,3900,400,34200
0.02,1300,400,3300,2900,300,34700
0.03,800,1100,1100,3500,300,40501
0.04,900,300,2100,3800,400,34600
0.05,800,700,2900,3201,400,26600
0.06,1100,600,4100,3900,300,21401
0.07,1100,300,1500,3800,200,27700
0.08,900,400,1800,3600,400,25500
0.09,1100,700,3201,3500,700,31600
0.1,900,300,1801,3500,400,27600
0.2,1000,500,1500,3300,300,32901
0.3,1100,300,2200,3400,300,26201
0.4,900,400,3400,4401,500,24100
0.5,1300,500,2100,4200,300,25501
0.6,1200,400,3100,3400,300,25201
0.7,1000,900,2000,3500,300,35000
0.8,1300,300,6100,3200,300,24800
0.9,1101,1100,6500,3400,300,34300
1,1300,200,2300,3800,300,27000
