 ,DA,SA,LL,TV,VEC,CBT
1e-05,800,700,2400,3700,400,30801
2e-05,100,300,1800,3600,300,24600
3e-05,500,400,4600,3700,700,28900
4e-05,100,700,4100,4200,300,26801
5e-05,300,500,2400,3400,600,29601
6e-05,100,300,4100,3200,300,22600
7e-05,200,700,1200,3400,700,18800
8e-05,400,500,2400,3400,600,25600
9e-05,200,400,1100,3200,201,20100
0.0001,200,200,1300,3300,300,32701
0.0002,600,1500,2100,4200,600,25400
0.0003,600,600,1900,3500,1000,27701
0.0004,200,500,4300,3200,300,21801
0.0005,200,200,800,2900,200,23000
0.0006,200,300,1000,3200,300,30801
0.0007,400,300,1200,3400,300,22700
0.0008,400,400,1700,3000,300,31700
0.0009,400,400,1300,3400,400,34801
0.001,600,500,2600,3700,300,36601
0.002,600,500,1200,3800,400,27301
0.003,500,400,4000,3800,300,20600
0.004,400,800,3300,3700,500,23501
0.005,500,300,1300,3500,300,34800
0.006,700,1200,2100,4300,200,27701
0.007,700,700,1300,3300,300,19500
0.008,500,500,4200,3701,200,32300
0.009,600,600,1700,2900,500,20100
0.01,1300,900,1300,4300,300,34401
0.02,1000,600,3800,3500,300,30100
0.03,700,900,1201,3100,600,22100
0.04,700,500,1800,3500,300,25100
0.05,1100,300,1300,4000,300,34601
0.06,900,400,3900,3000,200,34601
0.07,1100,500,2700,4301,200,23000
0.08,1100,800,3800,3501,600,32600
0.09,1200,300,1600,3000,300,28501
0.1,1200,700,2300,3500,300,18100
0.2,1100,400,2800,3800,400,29501
0.3,11700,600,3100,3500,800,24801
0.4,1200,700,11400,3700,300,29001
0.5,1300,800,3300,4500,800,23700
0.6,800,400,10800,3100,300,33901
0.7,1000,400,2700,3900,300,29200
0.8,1000,400,2400,3500,300,33301
0.9,1100,600,2600,3200,300,31201
1,1400,700,3300,3600,400,33801
