 ,DA,SA,LL,TV,VEC,CBT
1e-05,100,500,4200,3100,300,24801
2e-05,400,200,2601,3600,300,18800
3e-05,500,800,4300,3700,500,30800
4e-05,400,200,3100,3200,300,23800
5e-05,100,600,1600,4200,200,26301
6e-05,200,400,1300,3200,400,28601
7e-05,300,500,1500,3500,500,29401
8e-05,200,200,1200,3200,300,31901
9e-05,200,200,1400,3300,200,23600
0.0001,200,400,1100,3401,500,26800
0.0002,1000,800,4401,3900,300,27200
0.0003,300,200,1300,3000,200,21600
0.0004,800,300,1100,3400,300,29001
0.0005,500,300,1400,3800,300,26301
0.0006,600,400,4700,3300,200,26000
0.0007,900,800,2900,3000,200,27401
0.0008,600,200,1800,3600,300,31000
0.0009,200,400,3100,5000,300,22501
0.001,600,1200,3000,3200,300,31001
0.002,500,700,2400,3000,300,22600
0.003,900,1900,1500,4500,500,27400
0.004,800,300,3900,3100,200,31500
0.005,700,1400,1600,3800,700,27400
0.006,800,1700,3500,4200,700,24401
0.007,700,700,2900,3700,600,25301
0.008,1000,1000,2000,3700,400,34501
0.009,1400,700,2800,4400,300,32201
0.01,800,200,1500,3900,300,30901
0.02,500,700,2200,3500,300,17501
0.03,1000,900,2500,3000,200,25501
0.04,1100,600,1400,3700,400,30701
0.05,600,400,1700,3200,600,22501
0.06,800,400,1300,3200,500,24201
0.07,1300,900,2100,3000,100,34201
0.08,1200,900,4600,4900,300,24801
0.09,1100,1000,3000,4600,200,32301
0.1,1000,500,1600,3200,200,28901
0.2,1200,400,1900,3100,500,33600
0.3,1100,1500,1200,3200,200,31700
0.4,1000,300,1600,3300,300,28501
0.5,1200,500,1800,3100,300,26701
0.6,800,1000,3100,3200,300,33000
0.7,1200,500,4800,3100,400,25901
0.8,1100,400,2300,3200,300,23800
0.9,1800,600,4700,4100,1200,28400
1,900,600,2100,3200,200,27501
