 ,DA,SA,LL,CBT,TV,VEC
1e-05,4034,19662,393159,1120,7221,1009903
2e-05,541,66000,315179,1661,10871,2198
3e-05,450,123154,288032,2130,8802,4927
4e-05,576,192940,281665,1699,3641,6747
5e-05,406,225828,339862,1089,4070,7093
6e-05,1132,45467,354144,1151,11248,2888
7e-05,1347,132257,399544,834,3754,8319
8e-05,5587,67485,286606,1170,11203,2455
9e-05,580,104999,276020,855,2883,5263
0.0001,1499,156634,381777,1505,6298,8617
0.0002,1066,193785,359540,846,4016,8947
0.0003,877,104684,296806,1082,10129,4494
0.0004,2189,213239,356403,1100,8039,12839
0.0005,1270,34954,334848,1222,10444,4114
0.0006,734,58012,320556,1205,6818,1109
0.0007,819,28384,331045,1276,13224,2306
0.0008,982,233637,357381,1606,2929,15801
0.0009,1316,299151,402070,1544,4161,16623
0.001,1735,171596,372440,1338,4591,11425
0.002,2310,179075,341219,1444,4447,11854
0.003,1567,124631,350543,866,7841,7090
0.004,1020,189824,365589,1212,3525,10064
0.005,729,169841,333171,789,2363,8366
0.006,14873,297025,573505,852,17982,11791
0.007,1091,115640,313537,832,2950,5135
0.008,1076,60143,297201,872,7870,3260
0.009,1797,302744,431481,1013,3091,10491
0.01,1232,11774,303035,1288,6745,587
0.02,1841,153648,358258,1227,3745,10546
0.03,1129,65768,300192,753,8354,2854
0.04,1500,30421,347315,1423,17489,3536
0.05,1533,209422,331425,1159,8278,10590
0.06,2200,64927,334145,1851,14791,2576
0.07,888,159984,340523,960,7430,9518
0.08,3351,33714,497814,2943,22226,3264
0.09,1212,160516,432196,1490,9345,13785
0.1,1199,172483,374738,1180,5234,9465
0.2,2744,293987,743702,3137,10454,35438
0.3,1195,36624,331988,1255,7553,2720
0.4,1077,178095,375140,1014,4851,8346
0.5,1433,112959,381957,1297,11196,5703
0.6,1277,50469,421362,1476,13433,2409
0.7,1273,145944,385581,1240,6315,7443
0.8,1058,239429,454328,1497,4550,17112
0.9,830,130294,490875,1341,8040,7825
1,1051,212674,533868,1492,3696,15806
