 ,DA,SA,LL,CBT,TV,VEC
1e-05,1400,184314,3811402,2700,22802,15001
2e-05,1200,422134,831065,1601,28902,24202
3e-05,1101,488138,4822881,2000,27703,26102
4e-05,1400,288223,2876927,2000,18701,21502
5e-05,1300,94907,790963,1900,16601,5601
6e-05,3301,397731,921072,1601,20101,20102
7e-05,1901,107608,839866,1500,16602,5900
8e-05,1400,122510,545343,1400,14401,5001
9e-05,1600,148612,681754,1400,16801,7801
0.0001,1801,347227,6116384,2400,7400,19602
0.0002,3000,548444,3346365,2500,196516,36003
0.0003,3900,352128,4710073,2600,37303,22902
0.0004,1900,4400,636150,1501,4000,900
0.0005,2901,431734,812264,2200,47604,31302
0.0006,1800,373729,4949892,2000,38103,27802
0.0007,2200,513441,1029682,2400,31703,34302
0.0008,2000,122110,791863,2300,28002,6801
0.0009,2600,4900,746159,2101,4700,1700
0.001,4700,262521,2800322,3400,30803,15101
0.002,3800,313325,887070,3100,27803,12001
0.003,2500,503040,2838125,2600,40604,41003
0.004,4600,339327,832866,3601,49504,28002
0.005,2901,253420,800863,2800,34003,15001
0.006,3401,502840,780161,2601,46103,27702
0.007,2700,555044,724457,2501,4800,42603
0.008,2501,258620,688954,2100,7201,17301
0.009,4700,11667823,568245,2301,55004,23102
0.01,2800,179114,552044,2300,29802,18802
0.02,2800,23302,694555,2300,13201,2201
0.03,4000,234319,796863,2301,45903,18402
0.04,3100,137311,904472,2500,47704,11901
0.05,2400,38903,746759,1900,18001,3401
0.06,2200,469037,6286297,2701,27502,28702
0.07,3400,568744,959676,2300,28702,44304
0.08,3700,187315,936074,2101,60104,15402
0.09,3600,302624,5197211,3400,35003,24702
0.1,1800,407632,2951133,3201,39703,28302
0.2,1800,383331,671553,2100,17402,26002
0.3,2800,489338,1364508,2700,31403,39903
0.4,1400,485938,4747575,1300,2500,36103
0.5,2201,203016,1115088,2600,35503,14901
0.6,2300,504840,1079285,2600,14802,39603
0.7,2900,351528,3438771,2700,24802,27102
0.8,2800,201516,1190494,2300,55904,13502
0.9,2100,121809,1205695,2200,30802,5901
1,2300,32703,2039861,2200,22202,3900
