 ,DA,SA,LL,TV,VEC
1e-05,12700,1475927,53639381,47601,1486527
2e-05,8100,9400,53804385,14700,9400
3e-05,3500,3090357,54242193,51000,3222459
4e-05,3000,290506,53988488,53401,283305
5e-05,3900,3671267,54024289,59301,3712768
6e-05,4800,3341961,52562462,23201,4727086
7e-05,4000,630512,53222974,32700,610011
8e-05,5200,1951636,53053071,73801,1975336
9e-05,2800,1214122,53231778,44001,1195022
0.0001,3401,666512,53064875,28300,646812
0.0002,2500,659712,52936273,59601,656612
0.0003,2400,474009,52806770,47201,457808
0.0004,5400,2237341,53202278,59201,2197840
0.0005,5200,1714432,53050275,79601,1694331
0.0006,3000,514510,52850271,61401,526510
0.0007,4700,3700468,53862789,48301,3641767
0.0008,5401,2412244,53030270,58101,2418745
0.0009,5100,3088157,56492034,30600,3068557
0.001,5600,316606,53097272,30200,299906
0.002,8600,4010973,53041971,15401,4071774
0.003,7000,1203323,53556980,53201,1197622
0.004,7900,2835152,52346658,102202,2817851
0.005,6500,4164477,52535563,31901,4033174
0.006,4800,527510,52222456,39301,504409
0.007,6801,1898734,51923051,76501,1826434
0.008,5300,2242142,52039252,60402,2223240
0.009,6900,4123576,51840756,15601,3942472
0.01,6800,1682630,52458161,59301,1709431
0.02,5600,2871252,51688745,72501,2864752
0.03,7200,1500620,51558264,40900,1463619
0.04,6700,667711,51471538,41001,589909
0.05,7001,1532827,51509336,41401,1527127
0.06,8700,597711,51492242,48500,570511
0.07,5200,2682149,51518841,29000,2605048
0.08,4600,925517,51619343,46701,1002018
0.09,5800,1383226,51502941,34301,1370725
0.1,3600,2528246,51741145,38001,2539947
0.2,5300,3904971,51515039,68301,3794669
0.3,4100,3510463,51988040,98502,3208058
0.4,5700,1523728,52325255,39101,1498727
0.5,5700,1859534,51938047,63501,1828933
0.6,5101,1158521,52295447,22601,1117020
0.7,5900,3547964,53147770,34601,3536564
0.8,4200,2718935,53157395,41101,2697335
0.9,4900,1010212,52863652,36601,1057613
1,5700,1926235,53206558,52301,1899835
