 ,DA,SA,LL,TV,VEC
1e-05,6740,7577269,56616467,46560,7598454,
2e-05,5790,6064660,56850401,50670,6165492,
3e-05,6160,2105624,56914341,53040,2301522,
4e-05,4435,1842359,57265763,50945,1821379,
5e-05,4835,2388903,57557058,50875,2431314,
6e-05,4580,1870175,56831185,48861,1993862,
7e-05,4430,1715250,56922378,45245,1894402,
8e-05,5305,1783311,57132602,50975,1748910,
9e-05,4540,1903407,57366628,48455,1916272,
0.0001,4720,2089001,56967301,43510,2272089,
0.0002,4210,1774105,56548769,47235,1763505,
0.0003,4535,2203943,56497633,43945,2167972,
0.0004,4600,2305175,57036801,43300,2472423,
0.0005,4645,1917726,56245039,54021,1892385,
0.0006,5045,2250999,56742961,46240,2246164,
0.0007,5390,2404066,56700591,58416,2344130,
0.0008,5040,1681954,56625130,59791,1678399,
0.0009,5945,2257133,56962711,56791,2445732,
0.001,5880,1707360,56563198,49520,1888958,
0.002,6875,2028846,56537929,49245,2209119,
0.003,7080,2051246,55947395,43420,2200429,
0.004,6670,2869329,57379433,64325,2516354,
0.005,6660,2311915,56149011,48130,2404102,
0.006,7440,2817849,56310049,50980,3044013,
0.007,6640,1955183,56362663,50530,2150147,
0.008,6345,1554596,55870891,49845,1545401,
0.009,6795,2395072,55725086,47080,2568540,
0.01,7220,1939294,55689928,58161,1916724,
0.02,6860,1742516,54851032,57630,1736656,
0.03,6495,2593171,56860904,52900,2573475,
0.04,6655,1535096,56296870,47140,1494590,
0.05,6540,2563480,54623048,48105,2986378,
0.06,5995,1952019,54554155,41554,1926623,
0.07,6420,2104661,54657198,47125,2082405,
0.08,6235,1697599,54786433,41195,1891772,
0.09,6225,1946223,55001822,46000,1729519,
0.1,6165,2105896,55090105,42935,2067815,
0.2,6015,1940244,55110214,55330,2113391,
0.3,6050,2664849,55705823,54940,2607103,
0.4,6125,2299105,55915389,82661,2519314,
0.5,5160,2134347,55870233,53091,2310216,
0.6,5235,1605888,55983055,49080,1574072,
0.7,4575,2145970,56868273,48085,2116825,
0.8,4845,1916229,60041284,47295,1892998,
0.9,4400,2015305,60310259,53125,2187983,
1,4660,2175244,59969956,52080,2319702,
